"If anyone has solutions to the hidden conditions marked ""???"" it would be much appreciated if you dm or ping me in the slime discord @ HADES#5395 with the answer",,,,,,,
Mission Name,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Rewards
"""Bugged"" Notification Marker","The notification marker by the Daily Story button while there is no available Daily Story to complete is actually a ""Hidden"" Story",There will be a floating blue  ( ! ) by the left side of your Central Office in Tempest,Note: This story does not count towards the total completed for magicrystal rewards ,,,,"1 Watermelon Fruit Punch 
(Tier 3)"
Gobta On the Run 1,Clear Story Chapter 5 (Beginner),,,,,,"30,000 Gold"
Gobta On the Run 2,Clear Daily Story 'Gobta On the Run 1',Reach total Tavern Lv. 5,Reach Bond level 5 with Gobta,Place a tavern in Central Tempest,,,1 Intelligence Magistone (Tier 1)
Gobta On the Run 3,Clear Daily Story 'Gobta On the Run 2',Place a park in Central Tempest: x2,,,,,20 Attack Magistones (Tier 1)
Gobta On the Run 4,Clear Daily Story 'Gobta On the Run 3',Reach Bond level 20 with Gobta,Place a laboratory in Central Tempest,Place a Roadside Tree (Green) in Central Tempest: x3,,,1 Intelligence Magirock (Tier 2)
Gobta On the Run 5,Clear Main Story Chapter 7 (Beginner),Clear Daily Story 'Gobta On the Run 4',Reach Bond level 25 with Gobta,Reach total Forest Supply Corps Base Lv. 24,Place a Forest Supply Corps Base in the Riverfront,,10 Defense Magirock (Tier 2)
Gobta On the Run 6,Clear Daily Story 'Gobta On the Run 5',Reach total Cafe Lv. 27,Place a cafe in the Riverfront,,,,10 Stamina Magirock (Tier 2)
Gobta On the Run 7,Clear Daily Story 'Gobta On the Run 6',Reach total Field Lv. 22,Place a Field in the Riverfront,,,,5 Training Magiblock (Tier 3)
Gobta's Resolve,Clear Main Story Chapter 11 (Beginner),Clear Daily Story 'Gobta On the Run 7',Reach total Symbol of Protection Lv. 22,Place a training ground in the Riverfront,Clear Vortex of Ruin (Master) after your battle characters unleash at least 3 critical attacks,,1 Gold Hammer
Home Renovation 1,Clear Story Chapter 7 (Beginner),Reach Bond level 5 with Geld,Place a Goblins' House in Central Tempest: x3,,,,"10 Mined Stones 
(Decoration Material)"
Hungry for Fries 1,Clear Daily Story 'Gobuichi's Culinary Research 3',"Reach a population of 59,000",Place a restaurant in Central Tempest,Open all treasure chests on Floor 17 of Tower of Izis: Loup Loupe,,,3 Highest-Quality Magic Fang (Tier 3)
Hungry for Fries 2,Clear Daily Story 'Hungry for Fries 1',Place a cafe in the Riverfront,Clear Protection Magiblock Quest (Expert) after your battle characters unleash at least 5 pierce attacks,,,,1 Wind Magicore
